time(s),energy(eV),exchange_energy(eV),dm_energy(eV),field_energy(eV),anisotropy_energy(eV),cubic_anisotropy_energy(eV),charge_finite,charge_lattice,avg_mx,avg_my,avg_mz,eletric_x,eletric_y,eletric_z,magnetic_lattice_x,magnetic_lattice_y,magnetic_lattice_z,magnetic_derivative_x,magnetic_derivative_y,magnetic_derivative_z
2.279999999999932e-11,-1.095263204486082e-18,-2.412399679857829e-18,3.521293212199136e-19,-5.719973733340557e-20,-7.928287833721535e-21,0.000000000000000e+00,2.593682634844629e+01,3.100000000000004e+01,-1.418178911338303e-02,-8.889223375577082e-03,-4.842294374229927e-01,-4.186940365142411e-17,8.136167068590514e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297580e-14,0.000000000000000e+00,0.000000000000000e+00,1.707192921744639e-14
2.339999999999930e-11,-1.096751799577543e-18,-2.413663962815070e-18,3.508940275564033e-19,-5.742873953895361e-20,-7.938092409258533e-21,0.000000000000000e+00,2.598726949568258e+01,3.099999999999995e+01,-1.362413624858266e-02,-9.653716528628493e-03,-4.861680758561499e-01,-4.205539827048341e-17,8.227776831071761e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297578e-14,0.000000000000000e+00,0.000000000000000e+00,1.710513150008316e-14
2.399999999999928e-11,-1.098076984936699e-18,-2.414807155465395e-18,3.498105960314353e-19,-5.763220498715477e-20,-7.946500232569235e-21,0.000000000000000e+00,2.604064804625129e+01,3.099999999999997e+01,-1.310769082756244e-02,-1.031798877082677e-02,-4.878905306104994e-01,-4.227495668009005e-17,8.302431021190412e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297584e-14,0.000000000000000e+00,0.000000000000000e+00,1.714026590029070e-14
2.459999999999925e-11,-1.099240534059394e-18,-2.415830668127300e-18,3.488790810733860e-19,-5.781081254099114e-20,-7.953927991444568e-21,0.000000000000000e+00,2.609555237324542e+01,3.099999999999999e+01,-1.261075767778293e-02,-1.085769063710361e-02,-4.894025486606808e-01,-4.252258345291250e-17,8.362903754705350e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297586e-14,0.000000000000000e+00,0.000000000000000e+00,1.717640458478448e-14
2.519999999999923e-11,-1.100260682390186e-18,-2.416746596234333e-18,3.480824708759839e-19,-5.796801696454396e-20,-7.960602746467521e-21,0.000000000000000e+00,2.615048731311566e+01,3.100000000000007e+01,-1.212249837488176e-02,-1.126863171594411e-02,-4.907333766176990e-01,-4.276356352201789e-17,8.411359880768466e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297586e-14,0.000000000000000e+00,0.000000000000000e+00,1.721256341903926e-14
2.579999999999921e-11,-1.101168942686395e-18,-2.417576450898508e-18,3.473900196647561e-19,-5.810910532923392e-20,-7.966621740285899e-21,0.000000000000000e+00,2.620411558254934e+01,3.100000000000001e+01,-1.164237296460679e-02,-1.156005904893456e-02,-4.919277726524657e-01,-4.296431677655576e-17,8.449354571654952e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297580e-14,0.000000000000000e+00,0.000000000000000e+00,1.724786218718943e-14
2.639999999999919e-11,-1.102002606964574e-18,-2.418346022511175e-18,3.467649264711285e-19,-5.823998560594551e-20,-7.972073338606263e-21,0.000000000000000e+00,2.625544128405470e+01,3.099999999999989e+01,-1.117627887580606e-02,-1.174951246707401e-02,-4.930357512152418e-01,-4.310420145378106e-17,8.478479609330508e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297588e-14,0.000000000000000e+00,0.000000000000000e+00,1.728164537759837e-14
2.699999999999916e-11,-1.102797321576255e-18,-2.419080179712547e-18,3.461719186480027e-19,-5.836612056690760e-20,-7.977070477071393e-21,0.000000000000000e+00,2.630388035908654e+01,3.100000000000008e+01,-1.073146897186791e-02,-1.185784321997415e-02,-4.941035578876743e-01,-4.317195649710845e-17,8.500456870426790e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297581e-14,0.000000000000000e+00,0.000000000000000e+00,1.731352855594855e-14
2.759999999999914e-11,-1.103581590297741e-18,-2.419799025163486e-18,3.455828583988824e-19,-5.849178156096320e-20,-7.981725354475023e-21,0.000000000000000e+00,2.634919908631999e+01,3.100000000000005e+01,-1.031338826525426e-02,-1.190490114155289e-02,-4.951673521513242e-01,-4.316337268281579e-17,8.516919607053811e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297584e-14,0.000000000000000e+00,0.000000000000000e+00,1.734335788406906e-14
2.819999999999912e-11,-1.104373613074483e-18,-2.420515488213537e-18,3.449799537980606e-19,-5.861969246573122e-20,-7.986153401013079e-21,0.000000000000000e+00,2.639138591346588e+01,3.100000000000004e+01,-9.925664344245654e-03,-1.190673439130431e-02,-4.962501932331837e-01,-4.308250847057248e-17,8.529380540882431e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297588e-14,0.000000000000000e+00,0.000000000000000e+00,1.737112575810536e-14
