time(s),energy(eV),exchange_energy(eV),dm_energy(eV),field_energy(eV),anisotropy_energy(eV),cubic_anisotropy_energy(eV),charge_finite,charge_lattice,avg_mx,avg_my,avg_mz,eletric_x,eletric_y,eletric_z,magnetic_lattice_x,magnetic_lattice_y,magnetic_lattice_z,magnetic_derivative_x,magnetic_derivative_y,magnetic_derivative_z
1.049999999999963e-11,-1.035453624833628e-18,-2.369861688505438e-18,3.885042858412466e-19,-4.477492350152931e-20,0.000000000000000e+00,0.000000000000000e+00,-1.848253791853128e+01,-2.199999999999997e+01,2.360133681061439e-02,-2.765658231306846e-02,3.790460765829562e-01,-4.329142590551982e-17,-6.734090421251270e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404739e-14,0.000000000000000e+00,0.000000000000000e+00,-1.216542744532182e-14
1.099999999999956e-11,-1.037858095760009e-18,-2.373109706095562e-18,3.877186663942960e-19,-4.516257590937474e-20,0.000000000000000e+00,0.000000000000000e+00,-1.852505369492368e+01,-2.199999999999998e+01,2.402831540271269e-02,-2.906143459268319e-02,3.823277823410174e-01,-4.410435661374773e-17,-6.355285000287827e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404736e-14,0.000000000000000e+00,0.000000000000000e+00,-1.219341183768518e-14
1.149999999999948e-11,-1.040236510221904e-18,-2.376090419758322e-18,3.867685385193284e-19,-4.557556960240383e-20,0.000000000000000e+00,0.000000000000000e+00,-1.857098329185778e+01,-2.199999999999992e+01,2.412730419367716e-02,-2.951756209024391e-02,3.858240169909958e-01,-4.410212569142582e-17,-5.996725967985921e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404734e-14,0.000000000000000e+00,0.000000000000000e+00,-1.222364324754661e-14
1.199999999999941e-11,-1.042743476605706e-18,-2.379044045411075e-18,3.855309493971480e-19,-4.598692859874222e-20,0.000000000000000e+00,0.000000000000000e+00,-1.862225487817133e+01,-2.200000000000005e+01,2.399796422196421e-02,-2.911889850915134e-02,3.893064129715005e-01,-4.320953832036461e-17,-5.737734898549206e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404737e-14,0.000000000000000e+00,0.000000000000000e+00,-1.225739081868937e-14
1.249999999999934e-11,-1.045392053736284e-18,-2.382056553474089e-18,3.840240291752982e-19,-4.637579158689053e-20,0.000000000000000e+00,0.000000000000000e+00,-1.868136831165884e+01,-2.200000000000003e+01,2.372630755418229e-02,-2.805450959306943e-02,3.925983670042306e-01,-4.161556664505645e-17,-5.539860859609533e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404734e-14,0.000000000000000e+00,0.000000000000000e+00,-1.229629998740350e-14
1.299999999999927e-11,-1.048113512945805e-18,-2.385104937276604e-18,3.823397721039108e-19,-4.673093035945907e-20,0.000000000000000e+00,0.000000000000000e+00,-1.874349782970282e+01,-2.200000000000012e+01,2.336700660813606e-02,-2.654798246540586e-02,3.956048257060499e-01,-3.966188450607787e-17,-5.386177025604735e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404739e-14,0.000000000000000e+00,0.000000000000000e+00,-1.233719437903448e-14
1.349999999999919e-11,-1.050846651652549e-18,-2.388145898760068e-18,3.805565935662393e-19,-4.705199905563121e-20,0.000000000000000e+00,0.000000000000000e+00,-1.880272371464733e+01,-2.200000000000004e+01,2.295270430058109e-02,-2.482536764287415e-02,3.983228611616226e-01,-3.748910690928453e-17,-5.270450560462921e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404739e-14,0.000000000000000e+00,0.000000000000000e+00,-1.237617756464218e-14
1.399999999999912e-11,-1.053538249114284e-18,-2.391127521631796e-18,3.787420948098569e-19,-4.734553570331363e-20,0.000000000000000e+00,0.000000000000000e+00,-1.885394711527924e+01,-2.199999999999999e+01,2.250393848234356e-02,-2.309242794747840e-02,4.008078216246729e-01,-3.517379110930259e-17,-5.186765652699995e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404738e-14,0.000000000000000e+00,0.000000000000000e+00,-1.240989341939311e-14
1.449999999999905e-11,-1.056133802862434e-18,-2.393990718900724e-18,3.769613367853405e-19,-4.761911180474491e-20,0.000000000000000e+00,0.000000000000000e+00,-1.889733913966441e+01,-2.200000000000002e+01,2.203155396568205e-02,-2.150785317128390e-02,4.031238043173240e-01,-3.287605355601065e-17,-5.129319198627511e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404736e-14,0.000000000000000e+00,0.000000000000000e+00,-1.243845456866221e-14
1.499999999999912e-11,-1.058566796045950e-18,-2.396666675971996e-18,3.752869029254109e-19,-4.787690952265524e-20,0.000000000000000e+00,0.000000000000000e+00,-1.893829101291361e+01,-2.199999999999995e+01,2.153219166783825e-02,-2.016452282991572e-02,4.053062137082136e-01,-3.085843509323139e-17,-5.085809658347460e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404736e-14,0.000000000000000e+00,0.000000000000000e+00,-1.246540958127787e-14
